Service,Entity Set,Data Source ID,Report Name,Description,URL Path
ana_businessanalytics_analytics.svc,RPCRMCQTIPATCB_Q0001QueryResults,CRMCQTIPATCB,Sales Quote Item with Price Components,"Contains data on the quantities and values of sales quote items. It allows you to analyze the development and distribution of sales quote items across organizational units , along with details about the price components like price, discount, freight, surcharge, goodwill, warranty, quality loss fee, cost estimate, profit margin. also provides information like is the price component is manullay changed or automatically determined, what prices are proposed by the system and which is the active price, base value of each price component calculation for price, discount, freight, surcharge. Calculation of total discount , total tax value .",sap/byd/odata/ana_businessanalytics_analytics.svc/RPCRMCQTIPATCB_Q0001QueryResults
ana_businessanalytics_analytics.svc,RPCRMCRTI_Q0001QueryResults,CRMCRTI,,,sap/byd/odata/ana_businessanalytics_analytics.svc/RPCRMCRTI_Q0001QueryResults
ana_businessanalytics_analytics.svc,RPCRMCUCOISCU_Q0001QueryResults,CRMCUCOISCU,Customer Contract Item with Invoice Schedule Items,Contains all customer contract items with corresponding invoice schedule items. It allows you to see the planned revenue for each date specified in an invoice schedule.,sap/byd/odata/ana_businessanalytics_analytics.svc/RPCRMCUCOISCU_Q0001QueryResults
ana_businessanalytics_analytics.svc,RPCRMLEAHB01_Q0001QueryResults,CRMLEAHB01,Lead Extended,"Contains all leads. It allows you to analyze leads by various criteria such as by category, by status or by origin.In contrast to the Lead data source it shows inconsistent leads and provides additional parties as characteristic.",sap/byd/odata/ana_businessanalytics_analytics.svc/RPCRMLEAHB01_Q0001QueryResults
ana_businessanalytics_analytics.svc,RPCRMLEAHB_MQ0001QueryResults,CRMLEAHB,Lead,"Contains all leads. It allows you to analyze leads by various criteria such as by category, by status or by origin.",sap/byd/odata/ana_businessanalytics_analytics.svc/RPCRMLEAHB_MQ0001QueryResults
ana_businessanalytics_analytics.svc,RPCRMLEAHB_Q0001QueryResults,CRMLEAHB,Lead,"Contains all leads. It allows you to analyze leads by various criteria such as by category, by status or by origin.",sap/byd/odata/ana_businessanalytics_analytics.svc/RPCRMLEAHB_Q0001QueryResults
ana_businessanalytics_analytics.svc,RPCRMLEFU_MQ0001QueryResults,CRMLEFU,Lead Funnel,"Contains all leads and their related objects. It allows you to analyze all opportunities, sales quotes and sales orders that originate, either directly or indirectly, from these leads.",sap/byd/odata/ana_businessanalytics_analytics.svc/RPCRMLEFU_MQ0001QueryResults
ana_businessanalytics_analytics.svc,RPCRMLEFU_Q0001QueryResults,CRMLEFU,Lead Funnel,"Contains all leads and their related objects. It allows you to analyze all opportunities, sales quotes and sales orders that originate, either directly or indirectly, from these leads.",sap/byd/odata/ana_businessanalytics_analytics.svc/RPCRMLEFU_Q0001QueryResults
ana_businessanalytics_analytics.svc,RPCRMOPFU_MQ0001QueryResults,CRMOPFU,Opportunity Funnel,"Contains all opportunities and their related objects. It allows you to analyze all sales quotes and sales orders that originate, either directly or indirectly, from these opportunities.",sap/byd/odata/ana_businessanalytics_analytics.svc/RPCRMOPFU_MQ0001QueryResults
ana_businessanalytics_analytics.svc,RPCRMOPFU_Q0001QueryResults,CRMOPFU,Opportunity Funnel,"Contains all opportunities and their related objects. It allows you to analyze all sales quotes and sales orders that originate, either directly or indirectly, from these opportunities.",sap/byd/odata/ana_businessanalytics_analytics.svc/RPCRMOPFU_Q0001QueryResults
ana_businessanalytics_analytics.svc,RPCRMOPPU01_Q0001QueryResults,CRMOPPU01,Opportunity Header and Item Extended,"Contains all opportunities with their header and item data. It allows you to analyze opportunities by header and item data such as sales cycle, sales phase, expected value, opportunity items or net values.In contrast to the Opportunity Header and Item data source it shows inconsistent opportunities and provides additional parties as characteristic.",sap/byd/odata/ana_businessanalytics_analytics.svc/RPCRMOPPU01_Q0001QueryResults
ana_businessanalytics_analytics.svc,RPCRMOPPU_MQ0001QueryResults,CRMOPPU,Opportunity Header and Item,"Contains all opportunities with their header and item data. It allows you to analyze opportunities by header and item data such as sales cycle, sales phase, expected value, opportunity items or net values.",sap/byd/odata/ana_businessanalytics_analytics.svc/RPCRMOPPU_MQ0001QueryResults
ana_businessanalytics_analytics.svc,RPCRMOPPU_MQ0002QueryResults,CRMOPPU,Opportunity Header and Item,"Contains all opportunities with their header and item data. It allows you to analyze opportunities by header and item data such as sales cycle, sales phase, expected value, opportunity items or net values.",sap/byd/odata/ana_businessanalytics_analytics.svc/RPCRMOPPU_MQ0002QueryResults
ana_businessanalytics_analytics.svc,RPCRMOPPU_Q0001QueryResults,CRMOPPU,Opportunity Header and Item,"Contains all opportunities with their header and item data. It allows you to analyze opportunities by header and item data such as sales cycle, sales phase, expected value, opportunity items or net values.",sap/byd/odata/ana_businessanalytics_analytics.svc/RPCRMOPPU_Q0001QueryResults
ana_businessanalytics_analytics.svc,RPCRMOPPU_Q0002QueryResults,CRMOPPU,Opportunity Header and Item,"Contains all opportunities with their header and item data. It allows you to analyze opportunities by header and item data such as sales cycle, sales phase, expected value, opportunity items or net values.",sap/byd/odata/ana_businessanalytics_analytics.svc/RPCRMOPPU_Q0002QueryResults
ana_businessanalytics_analytics.svc,RPCRMOPPU_Q0003QueryResults,CRMOPPU,Opportunity Header and Item,"Contains all opportunities with their header and item data. It allows you to analyze opportunities by header and item data such as sales cycle, sales phase, expected value, opportunity items or net values.",sap/byd/odata/ana_businessanalytics_analytics.svc/RPCRMOPPU_Q0003QueryResults
ana_businessanalytics_analytics.svc,RPCRMOPQU_MQ0001QueryResults,CRMOPQU,Sales Analysis Pipeline,Contains all opportunities and quotes. It allows you to analyze opportunities and sales quotes by various criteria or key figures.,sap/byd/odata/ana_businessanalytics_analytics.svc/RPCRMOPQU_MQ0001QueryResults
